User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration,Description,Date,Filename,Is on leaderboard?
danny7,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (214),52.80 (72),,2015-02-10 19:32:39+00:00,lasso1.zip,False
Minjie_Fan,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (224),52.80 (72),,2015-02-11 20:39:49+00:00,sample_result_submission.zip,False
moli,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (267),52.80 (72),,2015-02-11 22:00:19+00:00,sample_result_submission.zip,False
wyl,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.01 (336),52.80 (72),,2015-02-12 02:34:33+00:00,sample_result_submission.zip,False
HarryLiu,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.01 (340),52.80 (72),,2015-02-12 04:28:28+00:00,sample_result_submission.zip,False
Ironman,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (246),52.80 (72),,2015-02-12 15:53:51+00:00,sample_result_submission.zip,True
topshell,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (213),52.80 (72),test the sample result submission,2015-02-12 17:38:26+00:00,sample_result_submission.zip,True
wsmath1234,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (265),52.80 (72),,2015-02-12 20:35:11+00:00,sample_result_submission.zip,False
RUIXIA_LI,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (244),52.80 (72),,2015-02-12 21:56:56+00:00,Archive.zip,False
ChenLi,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (289),52.80 (72),,2015-02-13 00:41:43+00:00,sample_result_submission.zip,False
justrun,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (217),52.80 (72),,2015-02-13 01:14:20+00:00,sample_result_submission.zip,False
ChenLi,0.8154 (54),0.7841 (77),0.8738 (43),0.7011 (55),0.3520 (36),3.06 (171),53.00 (73),,2015-02-12 03:18:09+00:00,sample_result_submission.zip,False
ChenLi,0.8154 (54),0.7841 (77),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (193),53.00 (73),,2015-02-12 23:48:47+00:00,sample_result_submission.zip,False
haoyouqu,0.8154 (54),0.7846 (61),0.8156 (56),0.7015 (53),0.3508 (42),950.37 (56),53.20 (74),,2015-02-07 05:15:40+00:00,sample_result001_submission.zip,False
djajetic,0.7992 (103),0.7843 (68),0.9064 (37),0.7200 (50),0.5161 (8),1235.91 (18),53.20 (74),,2015-02-09 21:13:17+00:00,automl_sample_submission_15-02-09-22-09.zip,False
djajetic,0.7958 (106),0.7844 (67),0.9054 (39),0.7227 (47),0.4543 (10),1098.52 (44),53.80 (75),,2015-02-11 12:46:35+00:00,dj4_time2.zip,False
john.smith.machine,0.7213 (119),0.7932 (33),0.8356 (54),0.8158 (33),0.3532 (30),1328.74 (8),53.80 (75),,2015-02-13 05:14:30+00:00,john.smith.machine-200-input.zip,False
Minjie_Fan,0.8154 (54),0.7841 (81),0.8738 (43),0.7011 (55),0.3520 (36),2.92 (399),53.80 (75),,2015-02-13 21:27:10+00:00,555sample_result_submission.zip,False
aad_freiburg,0.8162 (44),0.7524 (120),0.9552 (10),0.8362 (23),0.3209 (73),3.27 (124),54.00 (76),,2015-01-09 15:26:36+00:00,submission.zip,False
matthias.vonrohr,0.8143 (71),0.7839 (86),0.8716 (45),0.7025 (52),0.3638 (17),103.65 (79),54.20 (77),,2015-02-01 15:44:33+00:00,automl_sample_submission_15-02-01-16-26.zip,False
djajetic,0.8135 (74),0.7844 (65),0.9068 (35),-1.0000 (82),0.3807 (15),1185.50 (38),54.20 (77),debug dorothea,2015-02-08 23:26:26+00:00,automl_sample_submission_15-02-09-00-22.zip,False
haoyouqu,0.8154 (53),0.7843 (69),0.8156 (56),0.7009 (56),0.3512 (38),948.67 (58),54.40 (78),,2015-02-12 17:13:53+00:00,sample_result002_submission.zip,True
automl2015,0.8150 (62),0.7839 (88),0.9487 (15),0.8215 (31),0.3046 (77),4.17 (110),54.60 (79),,2014-12-22 21:04:26+00:00,submission.zip,True
joyce,0.8152 (57),0.7841 (78),0.8156 (56),0.7009 (56),0.3537 (26),962.13 (51),54.60 (79),,2015-02-10 02:42:08+00:00,lasso.zip,False
automl2015,0.8217 (17),0.7838 (92),0.8433 (53),0.1160 (72),0.3509 (40),771.93 (73),54.80 (80),,2014-12-15 14:06:32+00:00,submission.zip,False
nada,0.8154 (54),0.7360 (132),0.8738 (43),0.8606 (10),0.3520 (36),2.88 (438),55.00 (81),cadata_1,2015-01-30 21:52:23+00:00,nada_130_cadata_1.zip,False
joyce,0.8158 (51),0.7839 (87),0.8156 (56),0.7009 (56),0.3537 (27),949.90 (57),55.40 (82),,2015-02-10 02:15:00+00:00,ridge.zip,False
jrl44,0.8141 (72),0.7843 (71),0.8156 (56),0.8197 (32),0.3505 (46),1159.51 (42),55.40 (82),,2015-02-12 12:11:09+00:00,phase0_submission_15-02-12-12-06-50.zip,False
Rong,0.8154 (54),0.7844 (66),0.8738 (43),0.0000 (78),0.3520 (36),3.06 (172),55.40 (82),,2015-02-13 05:27:36+00:00,008002.zip,False
reference,0.8163 (38),0.7836 (98),0.8738 (43),0.7009 (56),0.3508 (43),856.10 (69),55.60 (83),Code submission,2014-12-09 00:05:08+00:00,sample_code_submission.zip,False
Rong,0.8154 (54),0.7844 (66),0.8738 (43),-0.0614 (80),0.3520 (36),3.00 (363),55.80 (84),,2015-02-13 04:48:51+00:00,008001.zip,False
john.smith.machine,0.8149 (64),0.8203 (3),-0.0015 (66),0.7794 (42),-0.0241 (105),3.04 (229),56.00 (85),,2015-02-10 04:12:00+00:00,john.smith.machine.zip,False
john.smith.machine,0.8223 (13),0.7835 (100),0.9236 (32),0.8340 (25),-0.0531 (111),3.04 (242),56.20 (86),,2015-02-09 10:01:44+00:00,john.smith.machine.zip,False
john.smith.machine,0.8184 (29),0.7950 (25),0.7883 (58),0.0000 (78),0.0131 (92),2.90 (421),56.40 (87),,2015-01-27 13:03:48+00:00,john.smith.machine.zip,False
wchang44,0.8154 (54),0.7846 (60),0.8156 (56),0.7013 (54),0.3477 (59),933.40 (65),56.60 (88),,2015-02-09 02:41:57+00:00,wes_code_submission.zip,True
backstreet.bayes,0.8148 (65),0.7840 (84),0.8156 (56),0.8328 (27),0.3500 (51),1240.86 (17),56.60 (88),"Freeze thaw, BAC opt, single threaded, no solution",2015-02-13 11:05:25+00:00,phase0_submission_15-02-13-11-03-52.zip,False
automl2015,0.8222 (14),0.7839 (88),0.8433 (53),0.1760 (68),0.3469 (61),769.79 (74),56.80 (89),,2014-12-15 15:06:50+00:00,submission.zip,False
jrl44,0.8152 (58),0.7837 (95),0.8433 (53),0.7009 (56),0.3553 (22),1345.07 (7),56.80 (89),,2015-01-06 13:07:42+00:00,automl_sample_submission_15-01-06-13-06.zip,False
john.smith.machine,0.8223 (13),0.7835 (100),0.9236 (32),0.8282 (28),-0.0531 (111),2.91 (412),56.80 (89),,2015-02-09 07:28:57+00:00,john.smith.machine.zip,False
john.smith.machine,0.8223 (13),0.7835 (100),0.9236 (32),0.8282 (28),-0.0531 (111),3.03 (247),56.80 (89),,2015-02-09 09:42:26+00:00,john.smith.machine.zip,False
john.smith.machine,0.7211 (125),0.7932 (33),0.8356 (54),0.8158 (33),0.3509 (39),1215.20 (21),56.80 (89),,2015-02-12 08:59:28+00:00,sample_result_submission_9.zip,False
automl2015,0.8176 (31),0.7835 (102),0.8738 (43),0.7009 (56),0.3495 (53),867.86 (68),57.00 (90),,2014-12-10 16:46:01+00:00,sample_code_submission.zip,False
k.diou,0.8160 (46),0.7846 (62),0.8156 (56),0.7013 (54),0.3447 (67),953.76 (54),57.00 (90),,2014-12-27 21:47:49+00:00,sample_code_submission.zip,True
GilbertLi,0.8161 (45),0.7846 (63),0.8156 (56),0.7009 (56),0.3448 (66),928.44 (66),57.20 (91),,2015-02-10 03:43:43+00:00,sample_code_submission.zip,True
john.smith.machine,0.8193 (26),0.7950 (28),-0.0319 (68),0.0950 (73),0.0131 (92),3.05 (184),57.40 (92),,2015-01-29 05:40:33+00:00,john.smith.machine.zip,False
john.smith.machine,0.7211 (123),0.7932 (33),0.8356 (54),0.8158 (33),0.3507 (44),1315.93 (9),57.40 (92),,2015-02-12 08:28:24+00:00,sample_result_submission_8.zip,False
john.smith.machine,0.7214 (118),0.8123 (13),0.8356 (54),0.8158 (33),0.3421 (71),1231.89 (19),57.80 (93),,2015-02-13 05:58:09+00:00,john.smith.machine-201-input.zip,False
joyce,0.8154 (54),0.7835 (101),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (232),57.80 (93),,2015-02-13 22:41:48+00:00,23.red2_ranf_mtry.zip,False
joyce,0.8154 (54),0.7835 (101),0.8738 (43),0.7011 (55),0.3520 (36),3.09 (146),57.80 (93),,2015-02-13 22:53:00+00:00,23.red2_ranf_mtry.zip,True
jrl44,0.8159 (49),0.7850 (55),0.8156 (56),-1.0000 (82),0.3502 (48),1266.52 (13),58.00 (94),"No really, this is the BAC experiment",2015-02-12 16:16:21+00:00,phase0_submission_15-02-12-16-14-30.zip,False
abhishek4,0.8153 (56),0.7838 (89),0.8156 (56),0.7009 (56),0.3522 (34),957.84 (52),58.20 (95),,2015-01-09 12:25:58+00:00,res4.zip,False
djajetic,0.8139 (73),0.7840 (83),0.9058 (38),-1.0000 (82),0.3807 (15),1186.01 (37),58.20 (95),,2015-02-08 22:20:01+00:00,automl_sample_submission_15-02-08-23-14.zip,False
Minjie_Fan,0.8154 (54),0.7830 (103),0.8738 (43),0.7011 (55),0.3520 (36),3.06 (182),58.20 (95),,2015-02-13 21:35:00+00:00,sample_result115_submission.zip,True
Anders,0.8154 (54),0.7799 (104),0.8738 (43),0.7011 (55),0.3520 (36),3.00 (367),58.40 (96),,2015-02-09 05:41:01+00:00,sample_result_submission.zip,False
gracekee,0.8154 (54),0.7799 (104),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (259),58.40 (96),,2015-02-09 06:06:41+00:00,sample_result_submission.zip,False
gracekee,0.8154 (54),0.7799 (104),0.8738 (43),0.7011 (55),0.3520 (36),3.07 (159),58.40 (96),,2015-02-09 06:11:46+00:00,sample_result_submission.zip,False
john.smith.machine,0.8223 (13),0.7835 (100),0.9236 (32),0.8098 (36),-0.0531 (111),3.04 (236),58.40 (96),,2015-02-09 10:37:03+00:00,john.smith.machine.zip,False
Anders,0.8154 (54),0.7799 (104),0.8738 (43),0.7011 (55),0.3520 (36),2.90 (425),58.40 (96),,2015-02-10 02:37:07+00:00,sample_result_submission.zip,False
xsong6,0.8152 (60),0.7845 (64),0.8156 (56),0.7007 (58),0.3494 (54),964.53 (49),58.40 (96),,2015-02-10 15:28:19+00:00,sample_code_submission.zip,True
jrl44,0.8144 (68),0.7849 (57),0.8156 (56),0.7009 (56),0.3490 (56),78.56 (90),58.60 (97),,2015-01-06 12:54:14+00:00,automl_sample_submission_15-01-06-12-27.zip,False
joyce,0.8133 (76),0.7840 (82),0.8156 (56),0.7005 (59),0.3561 (20),964.90 (48),58.60 (97),,2015-02-10 03:01:55+00:00,bagging.zip,False
jrl44,0.8162 (43),0.7841 (79),0.8156 (56),-1.0000 (82),0.3522 (33),1258.11 (14),58.60 (97),Slightly better BAC experiment,2015-02-12 16:10:13+00:00,phase0_submission_15-02-12-16-08-14.zip,False
joyce,0.8154 (54),0.7796 (105),0.8738 (43),0.7011 (55),0.3520 (36),3.10 (138),58.60 (97),,2015-02-13 22:51:28+00:00,24.red2_fanf_mtry2.zip,False
aad_freiburg,0.8162 (44),0.7524 (120),0.9100 (34),0.8362 (23),0.3209 (73),3.26 (125),58.80 (98),,2015-01-12 16:06:36+00:00,submission.zip,False
tadej,0.8124 (77),0.7923 (36),0.8156 (56),0.7009 (56),0.3436 (69),1084.38 (45),58.80 (98),,2015-02-04 21:37:49+00:00,automl_sample_submission_15-02-04-19-12.zip,False
gracekee,0.8154 (54),0.7783 (106),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (310),58.80 (98),,2015-02-10 05:01:14+00:00,sample_result_submission.zip,False
gracekee,0.8154 (54),0.7783 (106),0.8738 (43),0.7011 (55),0.3520 (36),3.01 (338),58.80 (98),,2015-02-10 05:30:27+00:00,sample_result_submission.zip,True
jana.kludas,0.8079 (85),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (296),59.00 (99),,2015-01-21 11:59:40+00:00,sample_result_submission_v0006.zip,False
Rong,0.8154 (54),0.7767 (108),0.8738 (43),0.7011 (55),0.3520 (36),2.88 (439),59.20 (100),,2015-02-12 16:17:07+00:00,006.zip,False
reference,0.8150 (63),0.7840 (85),0.8156 (56),0.7009 (56),0.3517 (37),957.83 (53),59.40 (101),New try of version 1.1,2014-12-20 07:43:58+00:00,sample_code_submission.zip,True
joyce,0.8160 (48),0.7836 (97),0.8156 (56),0.7009 (56),0.3508 (41),963.49 (50),59.60 (102),,2015-02-10 00:34:09+00:00,cadata.zip,False
joyce,0.8154 (54),0.7728 (110),0.8738 (43),0.7011 (55),0.3520 (36),2.90 (419),59.60 (102),,2015-02-13 22:18:28+00:00,22.red2_ranf.zip,False
wyl,0.8154 (54),0.7842 (74),0.8156 (56),0.7011 (55),0.3475 (60),951.12 (55),59.80 (103),,2015-02-10 04:32:10+00:00,subsetstep05.zip,False
john.smith.machine,0.7212 (122),0.7932 (33),0.8356 (54),0.8158 (33),0.3485 (57),1216.37 (20),59.80 (103),,2015-02-12 14:37:13+00:00,john.smith.machine-101-input.zip,False
jrl44,0.8162 (41),0.7843 (70),0.8156 (56),-1.0000 (82),0.3502 (50),1269.40 (12),59.80 (103),BAC experiment,2015-02-12 15:56:07+00:00,phase0_submission_15-02-12-15-53-49.zip,False
danny7,0.8154 (54),0.7684 (111),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (266),59.80 (103),,2015-02-12 18:03:11+00:00,rf3.zip,False
danny7,0.8154 (54),0.7684 (111),0.8738 (43),0.7011 (55),0.3520 (36),2.92 (401),59.80 (103),,2015-02-12 18:16:51+00:00,rf4.zip,False
danny7,0.8154 (54),0.7684 (111),0.8738 (43),0.7011 (55),0.3520 (36),2.89 (427),59.80 (103),,2015-02-13 05:49:14+00:00,rf5.zip,False
jana.kludas,0.8065 (90),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.14 (130),60.00 (104),,2015-01-15 13:22:49+00:00,sample_result_submission_v0004.zip,False
jana.kludas,0.8065 (90),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.06 (175),60.00 (104),,2015-01-21 07:34:43+00:00,sample_result_submission_v0004.zip,False
danny7,0.8154 (54),0.7678 (112),0.8738 (43),0.7011 (55),0.3520 (36),3.06 (170),60.00 (104),,2015-02-12 17:56:29+00:00,rf2000.zip,False
kevinzhao90,0.8144 (69),0.7841 (75),0.8156 (56),0.7013 (54),0.3503 (47),947.61 (59),60.20 (105),,2015-02-06 19:03:41+00:00,sample_code_submission.zip,True
zaiwei,0.8154 (54),0.7678 (113),0.8738 (43),0.7011 (55),0.3520 (36),2.90 (423),60.20 (105),cadata - RF - 0.3.zip,2015-02-10 03:10:13+00:00,cadata - RF - 0.3.zip,False
jana.kludas,0.8048 (92),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (219),60.40 (106),,2015-01-15 12:34:44+00:00,sample_result_submission_v0003.zip,False
Anders,0.8154 (54),0.7642 (115),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (190),60.60 (107),,2015-02-12 22:11:00+00:00,sample_result_submission.zip,False
jana.kludas,0.8045 (94),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (198),60.80 (108),,2015-01-22 11:26:44+00:00,sample_result_submission_v0007.zip,False
z.dai@sheffield.ac.uk,0.8148 (66),0.7836 (99),0.8156 (56),0.7011 (55),0.3537 (28),938.60 (64),60.80 (108),,2015-02-11 11:09:23+00:00,sample_code_submission.zip,False
Rong,0.8154 (54),0.7625 (116),0.8738 (43),0.7011 (55),0.3520 (36),3.01 (344),60.80 (108),,2015-02-11 14:46:04+00:00,005.zip,False
john.smith.machine,0.7212 (122),0.7932 (33),0.8356 (54),0.8158 (33),0.3467 (62),1175.25 (41),60.80 (108),,2015-02-12 15:09:52+00:00,john.smith.machine-102-input.zip,False
john.smith.machine,0.7212 (121),0.7932 (33),0.8356 (54),0.8158 (33),0.3464 (63),1293.94 (10),60.80 (108),,2015-02-12 15:41:27+00:00,john.smith.machine-103-input.zip,False
jana.kludas,0.8043 (95),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),2.87 (443),61.00 (109),,2015-01-22 08:34:45+00:00,sample_result_submission_v0007.zip,False
danny7,0.8154 (54),0.7603 (117),0.8738 (43),0.7011 (55),0.3520 (36),3.01 (350),61.00 (109),,2015-02-12 04:21:13+00:00,ramdomforest2.zip,False
zaiwei,0.8154 (54),0.7589 (118),0.8738 (43),0.7011 (55),0.3520 (36),3.00 (361),61.20 (110),,2015-02-13 00:13:21+00:00,cadata - 1.2 - tunedSVM.zip,False
Anders,0.8154 (54),0.7543 (119),0.8738 (43),0.7011 (55),0.3520 (36),3.07 (157),61.40 (111),,2015-02-12 22:26:51+00:00,sample_result_submission.zip,True
john.smith.machine,0.8135 (75),0.7960 (21),0.9122 (33),0.1187 (71),-0.0530 (109),3.09 (143),61.80 (112),,2015-02-06 13:29:01+00:00,john.smith.machine.zip,False
Anders,0.8154 (54),0.7516 (121),0.8738 (43),0.7011 (55),0.3520 (36),2.87 (447),61.80 (112),,2015-02-12 22:07:43+00:00,sample_result_submission.zip,False
zaiwei,0.8154 (54),0.7496 (122),0.8738 (43),0.7011 (55),0.3520 (36),2.95 (387),62.00 (113),cadata - RF - 0.2.zip,2015-02-10 01:58:13+00:00,cadata - RF - 0.2.zip,False
john.smith.machine,0.7211 (125),0.7932 (33),0.8356 (54),0.8158 (33),0.3451 (65),1188.23 (33),62.00 (113),,2015-02-12 12:42:23+00:00,sample_result_submission_9.zip,False
gracekee,0.8154 (54),0.7483 (123),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (272),62.20 (114),,2015-02-09 05:57:28+00:00,sample_result_submission.zip,False
gracekee,0.8154 (54),0.7483 (123),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (293),62.20 (114),,2015-02-09 06:08:54+00:00,sample_result_submission.zip,False
ngthuydiem,0.8158 (50),0.7837 (96),0.8156 (56),0.7011 (55),0.3492 (55),943.15 (60),62.40 (115),,2015-02-08 13:56:55+00:00,sample_code_submission.zip,True
gracekee,0.8154 (54),0.7480 (124),0.8738 (43),0.7011 (55),0.3520 (36),3.13 (132),62.40 (115),,2015-02-10 05:28:26+00:00,sample_result_submission.zip,False
djajetic,0.8066 (88),0.7895 (39),0.9067 (36),0.0071 (77),0.3263 (72),1187.81 (35),62.40 (115),,2015-02-11 23:39:29+00:00,automl_sample_submission_15-02-12-00-35.zip,False
joyce,0.8154 (54),0.7472 (125),0.8738 (43),0.7011 (55),0.3520 (36),2.91 (411),62.60 (116),,2015-02-11 02:56:04+00:00,Randomforest.zip,False
joyce,0.8154 (54),0.7472 (125),0.8738 (43),0.7011 (55),0.3520 (36),2.92 (405),62.60 (116),,2015-02-12 16:25:59+00:00,6.Randomforest.zip,False
Harveyz,0.8156 (52),0.7841 (80),0.8156 (56),0.7009 (56),0.3429 (70),830.11 (71),62.80 (117),,2015-02-04 16:16:39+00:00,sample_code_submission.zip,False
Rong,0.8154 (54),0.7469 (126),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (203),62.80 (117),,2015-02-10 16:16:11+00:00,004.zip,False
jana.kludas,0.7987 (105),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (281),63.00 (118),,2015-01-15 12:15:02+00:00,sample_result_submission_v0002.zip,False
zaiwei,0.8154 (54),0.7450 (127),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (295),63.00 (118),cadata - 1.1 - SVM.zip,2015-02-12 06:30:15+00:00,cadata - 1.1 - SVM.zip,False
joyce,0.8154 (54),0.7408 (128),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (253),63.20 (119),,2015-02-12 16:06:40+00:00,13.red_ranf.zip,False
jana.kludas,0.7954 (107),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.00 (365),63.40 (120),,2015-01-21 10:16:02+00:00,sample_result_submission_v0005.zip,False
joyce,0.8154 (54),0.7400 (129),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (301),63.40 (120),,2015-02-13 22:08:27+00:00,21.red_ranf_n600.zip,False
RUIXIA_LI,0.8154 (54),0.7394 (130),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (292),63.60 (121),,2015-02-13 18:59:22+00:00,Archive.zip,True
aad_freiburg,0.8150 (62),0.7839 (88),0.9502 (11),-1.0000 (82),0.3049 (76),3.16 (129),63.80 (122),,2015-01-09 13:26:58+00:00,submission.zip,False
claesenm,0.8112 (79),0.6976 (149),0.8480 (52),0.8332 (26),0.4284 (13),3.02 (309),63.80 (122),,2015-02-08 17:22:34+00:00,predictions_003.zip,True
matthias.vonrohr,0.8051 (91),0.7779 (107),0.8714 (46),0.7007 (58),0.3569 (19),109.50 (78),64.20 (123),,2015-02-01 16:11:51+00:00,automl_sample_submission_15-02-01-16-50.zip,False
g.cawley,0.7459 (112),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),2.44 (462),64.40 (124),Experiment 001 - still trying to get a reasonable result for the adult dataset,2014-12-13 19:37:46+00:00,foo.zip,False
g.cawley,0.7459 (112),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),2.45 (461),64.40 (124),Again testing file format for adult dataset,2014-12-16 10:01:37+00:00,foo.zip,True
joyce,0.8154 (54),0.7194 (134),0.8738 (43),0.7011 (55),0.3520 (36),3.09 (142),64.40 (124),,2015-02-11 03:59:35+00:00,red_guide.zip,False
g.cawley,0.7419 (113),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),2.46 (460),64.60 (125),Experiment001 testing adult dataset,2014-12-13 15:47:41+00:00,foo.zip,False
wyl,0.8154 (54),0.7192 (135),0.8738 (43),0.7011 (55),0.3520 (36),3.26 (126),64.60 (125),,2015-02-13 23:43:46+00:00,ave7.zip,False
automl2015,0.8150 (62),0.7839 (88),0.9487 (15),-1.0000 (82),0.3046 (77),23.94 (93),64.80 (126),,2014-12-22 20:51:13+00:00,submission.zip,False
john.smith.machine,0.7211 (124),0.8070 (15),0.8221 (55),0.8158 (33),0.0031 (97),1622.48 (5),64.80 (126),,2015-02-11 12:48:41+00:00,sample_result_submission_2.zip,False
ylee373,0.8154 (54),0.7125 (136),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (326),64.80 (126),,2015-02-13 04:56:01+00:00,run.zip,True
john.smith.machine,0.8223 (13),0.7835 (100),0.9236 (32),0.1187 (71),-0.0530 (109),2.88 (442),65.00 (127),,2015-02-07 16:26:22+00:00,john.smith.machine.zip,False
HarryLiu,0.8154 (54),0.7119 (137),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (320),65.00 (127),,2015-02-13 21:20:45+00:00,result.zip,True
chenjing,0.8154 (54),0.7113 (138),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (210),65.20 (128),,2015-02-13 04:04:16+00:00,subother.zip,False
john.smith.machine,0.7211 (123),0.7932 (33),0.8356 (54),0.8158 (33),0.1660 (84),942.22 (63),65.40 (129),,2015-02-12 06:37:09+00:00,sample_result_submission_7.zip,False
ChenLi,0.8154 (54),0.7104 (139),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (312),65.40 (129),,2015-02-13 15:01:48+00:00,sample_result_submission.zip,True
claesenm,0.8112 (79),0.6976 (149),0.7547 (61),0.8332 (26),0.4284 (13),3.06 (178),65.60 (130),,2015-02-08 15:53:41+00:00,predictions_002.zip,False
chenjing,0.8154 (54),0.7095 (140),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (183),65.60 (130),,2015-02-12 17:48:22+00:00,submulti.zip,False
chenjing,0.8154 (54),0.7095 (140),0.8738 (43),0.7011 (55),0.3520 (36),3.07 (158),65.60 (130),,2015-02-13 04:11:24+00:00,submulti.zip,True
john.smith.machine,0.8223 (13),0.7835 (100),0.9236 (32),0.0231 (75),-0.0530 (109),3.01 (349),65.80 (131),,2015-02-07 17:32:26+00:00,john.smith.machine.zip,False
lakerwsl,0.8154 (54),0.7094 (141),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (194),65.80 (131),Second try,2015-02-08 22:53:48+00:00,RandomForest.zip,False
jrl44,0.8164 (36),0.7838 (91),0.8156 (56),-1.0000 (82),0.3459 (64),1240.89 (16),65.80 (131),"Freeze thaw, BAC, single thread",2015-02-13 09:37:16+00:00,phase0_submission_15-02-13-09-35-17.zip,False
lakerwsl,0.8154 (54),0.7085 (142),0.8738 (43),0.7011 (55),0.3520 (36),2.93 (398),66.00 (132),First try,2015-02-08 22:45:31+00:00,MARS.zip,False
lakerwsl,0.8154 (54),0.7085 (142),0.8738 (43),0.7011 (55),0.3520 (36),2.88 (432),66.00 (132),Try,2015-02-09 00:55:43+00:00,MARS.zip,True
chenjing,0.8154 (54),0.7059 (143),0.8738 (43),0.7011 (55),0.3520 (36),2.89 (426),66.20 (133),model 4,2015-02-09 01:05:51+00:00,model4.zip,False
chenjing,0.8154 (54),0.7059 (143),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (196),66.20 (133),model 4,2015-02-09 01:30:40+00:00,model4.zip,False
chenjing,0.8154 (54),0.7059 (143),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (227),66.20 (133),,2015-02-12 04:02:10+00:00,model4.zip,False
primachou,0.8154 (54),0.7059 (143),0.8738 (43),0.7011 (55),0.3520 (36),2.92 (402),66.20 (133),,2015-02-12 09:12:37+00:00,model4.zip,False
primachou,0.8154 (54),0.7059 (143),0.8738 (43),0.7011 (55),0.3520 (36),5.20 (104),66.20 (133),,2015-02-12 10:18:04+00:00,model4.zip,True
john.smith.machine,0.8223 (13),0.7835 (100),0.9236 (32),0.0120 (76),-0.0531 (111),3.07 (160),66.40 (134),,2015-02-08 06:32:38+00:00,john.smith.machine.zip,False
wyl,0.8154 (54),0.7035 (144),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (231),66.40 (134),,2015-02-12 02:29:24+00:00,psubstep11.zip,False
wyl,0.8154 (54),0.7035 (145),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (290),66.60 (135),,2015-02-10 04:49:59+00:00,subsetstep06.zip,False
wyl,0.8154 (54),0.7035 (145),0.8738 (43),0.7011 (55),0.3520 (36),3.00 (359),66.60 (135),,2015-02-11 23:36:50+00:00,subsetstep07.zip,False
wyl,0.8154 (54),0.7035 (145),0.8738 (43),0.7011 (55),0.3520 (36),3.13 (131),66.60 (135),,2015-02-11 23:39:34+00:00,subsetstep06.zip,False
wyl,0.8154 (54),0.7035 (145),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (256),66.60 (135),,2015-02-11 23:42:48+00:00,subsetstep08.zip,False
wyl,0.8154 (54),0.7035 (145),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (195),66.60 (135),,2015-02-12 00:09:36+00:00,substep09.zip,False
jana.kludas,0.8042 (96),0.6929 (158),0.9321 (27),0.8481 (16),0.3520 (36),3.03 (252),66.60 (135),,2015-02-13 07:23:59+00:00,sample_result_submission_v3.zip,False
